sample	group
SRR13307561	16-17
SRR13307562	16-17
SRR13307563	16-17
SRR13307564	16-17
SRR13307565	16-17
SRR13307566	16-17
SRR13307567	16-17
SRR13307568	16-17
SRR13307569	16-17
SRR13307570	16-17
SRR13307571	16-17
SRR13307572	16-17
SRR13307573	16-17
SRR13307574	16-17
SRR13307575	16-17
SRR13307576	16-17
SRR13307577	16-17
SRR13307578	16-17
SRR13307579	16-17
SRR13307580	16-17
SRR13307581	16-17
SRR13307582	16-17
SRR13307583	16-17
SRR13307584	16-17
SRR13307585	16-17
SRR13307586	16-17
SRR13307587	16-17
SRR13307588	16-17
SRR13307589	16-17
SRR13307590	16-17
SRR13307591	16-17
SRR13307592	16-17
SRR13307593	16-17
SRR13307594	16-17
SRR13307595	16-17
SRR13307596	16-17
SRR13307597	16-17
SRR13307598	16-17
SRR13307599	16-17
SRR13307600	16-17
SRR13307601	16-17
SRR13307602	16-17
SRR13307603	16-17
SRR13307604	16-17
SRR13307605	16-17
SRR13307606	16-17
SRR13307607	16-17
SRR13307608	16-17
SRR13307609	16-17
SRR13307610	16-17
SRR13307611	16-17
SRR13307612	16-17
SRR13307613	16-17
SRR13307614	16-17
SRR13307615	16-17
SRR13307616	16-17
SRR13307617	16-17
SRR13307618	16-17
SRR13307619	16-17
SRR13307620	16-17
SRR13307621	16-17
SRR13307622	16-17
SRR13307623	16-17
SRR26091304	16-17
SRR26091305	16-17
SRR26091306	16-17
SRR26091307	16-17
SRR26091308	16-17
SRR26091309	16-17
SRR26091310	16-17
SRR26091311	16-17
SRR9850903	16-17
SRR9850904	16-17
SRR9850905	16-17
SRR9850906	16-17
SRR9850907	16-17
SRR9850908	16-17
SRR9850909	16-17
SRR9850910	16-17
SRR9850911	16-17
SRR9850948	16-17
SRR9850949	16-17
SRR9850950	16-17
SRR9850902	16-17
